NCBI.GeneID	ySmbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
11789	Apc	APC, WNT signaling pathway regulator	Mus musculus	house mouse	PROTEIN_CODING	40	324	NCBI Ortholog
11651	Akt1	thymoma viral proto-oncogene 1	Mus musculus	house mouse	PROTEIN_CODING	11	207	NCBI Ortholog
19373	Rag1	recombination activating 1	Mus musculus	house mouse	PROTEIN_CODING	1	5896	NCBI Ortholog
18126	Nos2	nitric oxide synthase 2, inducible	Mus musculus	house mouse	PROTEIN_CODING	3	4843	NCBI Ortholog
16835	Ldlr	low density lipoprotein receptor	Mus musculus	house mouse	PROTEIN_CODING	3	3949	NCBI Ortholog
17105	Lyz2	lysozyme 2	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
19016	Pparg	peroxisome proliferator activated receptor gamma	Mus musculus	house mouse	PROTEIN_CODING	14	5468	NCBI Ortholog
16590	Kit	KIT proto-oncogene receptor tyrosine kinase	Mus musculus	house mouse	PROTEIN_CODING	2	3815	NCBI Ortholog
16653	Kras	Kirsten rat sarcoma viral oncogene homolog	Mus musculus	house mouse	PROTEIN_CODING	11	3845	NCBI Ortholog
20371	Foxp3	forkhead box P3	Mus musculus	house mouse	PROTEIN_CODING	3	50943	NCBI Ortholog
22339	Vegfa	vascular endothelial growth factor A	Mus musculus	house mouse	PROTEIN_CODING	10	7422	NCBI Ortholog
12367	Casp3	caspase 3	Mus musculus	house mouse	PROTEIN_CODING	4	836	NCBI Ortholog
18033	Nfkb1	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	Mus musculus	house mouse	PROTEIN_CODING	3	4790	NCBI Ortholog
15251	Hif1a	hypoxia inducible factor 1, alpha subunit	Mus musculus	house mouse	PROTEIN_CODING	6	3091	NCBI Ortholog
19122	Prnp	prion protein	Mus musculus	house mouse	PROTEIN_CODING	2	5621	NCBI Ortholog
11820	App	amyloid beta precursor protein	Mus musculus	house mouse	PROTEIN_CODING	8	351	NCBI Ortholog
18613	Pecam1	platelet/endothelial cell adhesion molecule 1	Mus musculus	house mouse	PROTEIN_CODING	4	5175	NCBI Ortholog
16171	Il17a	interleukin 17A	Mus musculus	house mouse	PROTEIN_CODING	1	3605	NCBI Ortholog
12064	Bdnf	brain derived neurotrophic factor	Mus musculus	house mouse	PROTEIN_CODING	12	627	NCBI Ortholog
13982	Esr1	estrogen receptor 1 (alpha)	Mus musculus	house mouse	PROTEIN_CODING	12	2099	NCBI Ortholog
16189	Il4	interleukin 4	Mus musculus	house mouse	PROTEIN_CODING	2	3565	NCBI Ortholog
216799	Nlrp3	NLR family, pyrin domain containing 3	Mus musculus	house mouse	PROTEIN_CODING	7	114548	NCBI Ortholog
18127	Nos3	nitric oxide synthase 3, endothelial cell	Mus musculus	house mouse	PROTEIN_CODING	3	4846	NCBI Ortholog
18128	Notch1	notch 1	Mus musculus	house mouse	PROTEIN_CODING	1	4851	NCBI Ortholog
19164	Psen1	presenilin 1	Mus musculus	house mouse	PROTEIN_CODING	1	5663	NCBI Ortholog
18508	Pax6	paired box 6	Mus musculus	house mouse	PROTEIN_CODING	8	5080	NCBI Ortholog
26416	Mapk14	mitogen-activated protein kinase 14	Mus musculus	house mouse	PROTEIN_CODING	6	1432	NCBI Ortholog
93759	Sirt1	sirtuin 1	Mus musculus	house mouse	PROTEIN_CODING	2	23411	NCBI Ortholog
56717	Mtor	mechanistic target of rapamycin kinase	Mus musculus	house mouse	PROTEIN_CODING	2	2475	NCBI Ortholog
19225	Ptgs2	prostaglandin-endoperoxide synthase 2	Mus musculus	house mouse	PROTEIN_CODING	1	5743	NCBI Ortholog
19090	Prkdc	protein kinase, DNA activated, catalytic polypeptide	Mus musculus	house mouse	PROTEIN_CODING	3	5591	NCBI Ortholog
16000	Igf1	insulin-like growth factor 1	Mus musculus	house mouse	PROTEIN_CODING	20	3479	NCBI Ortholog
19374	Rag2	recombination activating gene 2	Mus musculus	house mouse	PROTEIN_CODING	2	5897	NCBI Ortholog
21937	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	Mus musculus	house mouse	PROTEIN_CODING	1	7132	NCBI Ortholog
12550	Cdh1	cadherin 1	Mus musculus	house mouse	PROTEIN_CODING	1	999	NCBI Ortholog
13051	Cx3cr1	C-X3-C motif chemokine receptor 1	Mus musculus	house mouse	PROTEIN_CODING	1	1524	NCBI Ortholog
17869	Myc	myelocytomatosis oncogene	Mus musculus	house mouse	PROTEIN_CODING	4	4609	NCBI Ortholog
14609	Gja1	gap junction protein, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	6	2697	NCBI Ortholog
16176	Il1b	interleukin 1 beta	Mus musculus	house mouse	PROTEIN_CODING	2	3553	NCBI Ortholog
15975	Ifnar1	interferon (alpha and beta) receptor 1	Mus musculus	house mouse	PROTEIN_CODING	2	3454	NCBI Ortholog
17395	Mmp9	matrix metallopeptidase 9	Mus musculus	house mouse	PROTEIN_CODING	2	4318	NCBI Ortholog
17345	Mki67	antigen identified by monoclonal antibody Ki 67	Mus musculus	house mouse	PROTEIN_CODING	3	4288	NCBI Ortholog
19013	Ppara	peroxisome proliferator activated receptor alpha	Mus musculus	house mouse	PROTEIN_CODING	14	5465	NCBI Ortholog
12578	Cdkn2a	cyclin dependent kinase inhibitor 2A	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
20682	Sox9	SRY (sex determining region Y)-box 9	Mus musculus	house mouse	PROTEIN_CODING	1	6662	NCBI Ortholog
26413	Mapk1	mitogen-activated protein kinase 1	Mus musculus	house mouse	PROTEIN_CODING	3	5594	NCBI Ortholog
20296	Ccl2	C-C motif chemokine ligand 2	Mus musculus	house mouse	PROTEIN_CODING	1	6347	NCBI Ortholog
20674	Sox2	SRY (sex determining region Y)-box 2	Mus musculus	house mouse	PROTEIN_CODING	1	6657	NCBI Ortholog
12159	Bmp4	bone morphogenetic protein 4	Mus musculus	house mouse	PROTEIN_CODING	2	652	NCBI Ortholog
15368	Hmox1	heme oxygenase 1	Mus musculus	house mouse	PROTEIN_CODING	1	3162	NCBI Ortholog
11622	Ahr	aryl-hydrocarbon receptor	Mus musculus	house mouse	PROTEIN_CODING	2	196	NCBI Ortholog
12801	Cnr1	cannabinoid receptor 1	Mus musculus	house mouse	PROTEIN_CODING	12	1268	NCBI Ortholog
13649	Egfr	epidermal growth factor receptor	Mus musculus	house mouse	PROTEIN_CODING	3	1956	NCBI Ortholog
193034	Trpv1	transient receptor potential cation channel, subfamily V, member 1	Mus musculus	house mouse	PROTEIN_CODING	1	7442	NCBI Ortholog
12575	Cdkn1a	cyclin dependent kinase inhibitor 1A	Mus musculus	house mouse	PROTEIN_CODING	2	1026	NCBI Ortholog
12772	Ccr2	C-C motif chemokine receptor 2	Mus musculus	house mouse	PROTEIN_CODING	7	729230	NCBI Ortholog
19293	Pvalb	parvalbumin	Mus musculus	house mouse	PROTEIN_CODING	2	5816	NCBI Ortholog
22152	Tubb3	tubulin, beta 3 class III	Mus musculus	house mouse	PROTEIN_CODING	1	10381	NCBI Ortholog
12010	B2m	beta-2 microglobulin	Mus musculus	house mouse	PROTEIN_CODING	1	567	NCBI Ortholog
14265	Fmr1	fragile X messenger ribonucleoprotein 1	Mus musculus	house mouse	PROTEIN_CODING	7	2332	NCBI Ortholog
56637	Gsk3b	glycogen synthase kinase 3 beta	Mus musculus	house mouse	PROTEIN_CODING	3	2932	NCBI Ortholog
18125	Nos1	nitric oxide synthase 1, neuronal	Mus musculus	house mouse	PROTEIN_CODING	1	4842	NCBI Ortholog
20750	Spp1	secreted phosphoprotein 1	Mus musculus	house mouse	PROTEIN_CODING	5	6696	NCBI Ortholog
81897	Tlr9	toll-like receptor 9	Mus musculus	house mouse	PROTEIN_CODING	1	54106	NCBI Ortholog
20655	Sod1	superoxide dismutase 1, soluble	Mus musculus	house mouse	PROTEIN_CODING	1	6647	NCBI Ortholog
12389	Cav1	caveolin 1, caveolae protein	Mus musculus	house mouse	PROTEIN_CODING	16	857	NCBI Ortholog
17762	Mapt	microtubule-associated protein tau	Mus musculus	house mouse	PROTEIN_CODING	49	4137	NCBI Ortholog
19206	Ptch1	patched 1	Mus musculus	house mouse	PROTEIN_CODING	2	5727	NCBI Ortholog
26417	Mapk3	mitogen-activated protein kinase 3	Mus musculus	house mouse	PROTEIN_CODING	1	5595	NCBI Ortholog
15194	Htt	huntingtin	Mus musculus	house mouse	PROTEIN_CODING	4	3064	NCBI Ortholog
17257	Mecp2	methyl CpG binding protein 2	Mus musculus	house mouse	PROTEIN_CODING	3	4204	NCBI Ortholog
20846	Stat1	signal transducer and activator of transcription 1	Mus musculus	house mouse	PROTEIN_CODING	10	6772	NCBI Ortholog
13058	Cybb	cytochrome b-245, beta polypeptide	Mus musculus	house mouse	PROTEIN_CODING	2	1536	NCBI Ortholog
14580	Gfap	glial fibrillary acidic protein	Mus musculus	house mouse	PROTEIN_CODING	4	2670	NCBI Ortholog
16334	Ins2	insulin II	Mus musculus	house mouse	PROTEIN_CODING	3	3630	NCBI Ortholog
19017	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	Mus musculus	house mouse	PROTEIN_CODING	15	10891	NCBI Ortholog
11475	Acta2	actin alpha 2, smooth muscle, aorta	Mus musculus	house mouse	PROTEIN_CODING	2	59	NCBI Ortholog
16392	Isl1	ISL1 transcription factor, LIM/homeodomain	Mus musculus	house mouse	PROTEIN_CODING	1	3670	NCBI Ortholog
16542	Kdr	kinase insert domain protein receptor	Mus musculus	house mouse	PROTEIN_CODING	8	3791	NCBI Ortholog
19645	Rb1	RB transcriptional corepressor 1	Mus musculus	house mouse	PROTEIN_CODING	3	5925	NCBI Ortholog
11835	Ar	androgen receptor	Mus musculus	house mouse	PROTEIN_CODING	1	367	NCBI Ortholog
12028	Bax	BCL2-associated X protein	Mus musculus	house mouse	PROTEIN_CODING	5	581	NCBI Ortholog
12842	Col1a1	collagen, type I, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	1	1277	NCBI Ortholog
14103	Fasl	Fas ligand	Mus musculus	house mouse	PROTEIN_CODING	2	356	NCBI Ortholog
19697	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	Mus musculus	house mouse	PROTEIN_CODING	4	5970	NCBI Ortholog
12393	Runx2	runt related transcription factor 2	Mus musculus	house mouse	PROTEIN_CODING	8	860	NCBI Ortholog
12576	Cdkn1b	cyclin dependent kinase inhibitor 1B	Mus musculus	house mouse	PROTEIN_CODING	1	1027	NCBI Ortholog
12638	Cftr	cystic fibrosis transmembrane conductance regulator	Mus musculus	house mouse	PROTEIN_CODING	1	1080	NCBI Ortholog
14961	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
16183	Il2	interleukin 2	Mus musculus	house mouse	PROTEIN_CODING	1	3558	NCBI Ortholog
16412	Itgb1	integrin beta 1 (fibronectin receptor beta)	Mus musculus	house mouse	PROTEIN_CODING	1	3688	NCBI Ortholog
18587	Pde6b	phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide	Mus musculus	house mouse	PROTEIN_CODING	1	5158	NCBI Ortholog
19699	Reln	reelin	Mus musculus	house mouse	PROTEIN_CODING	2	5649	NCBI Ortholog
11450	Adipoq	adiponectin, C1Q and collagen domain containing	Mus musculus	house mouse	PROTEIN_CODING	1	9370	NCBI Ortholog
21943	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	Mus musculus	house mouse	PROTEIN_CODING	1	8600	NCBI Ortholog
12043	Bcl2	B cell leukemia/lymphoma 2	Mus musculus	house mouse	PROTEIN_CODING	2	596	NCBI Ortholog
18999	Pou5f1	POU domain, class 5, transcription factor 1	Mus musculus	house mouse	PROTEIN_CODING	2	5460	NCBI Ortholog
12362	Casp1	caspase 1	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
15289	Hmgb1	high mobility group box 1	Mus musculus	house mouse	PROTEIN_CODING	2	3146	NCBI Ortholog
19353	Rac1	Rac family small GTPase 1	Mus musculus	house mouse	PROTEIN_CODING	2	5879	NCBI Ortholog
12156	Bmp2	bone morphogenetic protein 2	Mus musculus	house mouse	PROTEIN_CODING	1	650	NCBI Ortholog
26419	Mapk8	mitogen-activated protein kinase 8	Mus musculus	house mouse	PROTEIN_CODING	7	5599	NCBI Ortholog
14179	Fgf8	fibroblast growth factor 8	Mus musculus	house mouse	PROTEIN_CODING	8	2253	NCBI Ortholog
15218	Foxn1	forkhead box N1	Mus musculus	house mouse	PROTEIN_CODING	17	8456	NCBI Ortholog
21473	Tcra	T cell receptor alpha chain	Mus musculus	house mouse	PROTEIN_CODING	NA	NA	
21823	Th	tyrosine hydroxylase	Mus musculus	house mouse	PROTEIN_CODING	1	7054	NCBI Ortholog
11545	Parp1	poly (ADP-ribose) polymerase family, member 1	Mus musculus	house mouse	PROTEIN_CODING	1	142	NCBI Ortholog
12307	Calb1	calbindin 1	Mus musculus	house mouse	PROTEIN_CODING	1	793	NCBI Ortholog
17127	Smad3	SMAD family member 3	Mus musculus	house mouse	PROTEIN_CODING	3	4088	NCBI Ortholog
18053	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	Mus musculus	house mouse	PROTEIN_CODING	1	4804	NCBI Ortholog
21577	Tcrb	T cell receptor beta chain	Mus musculus	house mouse	PROTEIN_CODING	NA	NA	
56458	Foxo1	forkhead box O1	Mus musculus	house mouse	PROTEIN_CODING	1	2308	NCBI Ortholog
14815	Nr3c1	nuclear receptor subfamily 3, group C, member 1	Mus musculus	house mouse	PROTEIN_CODING	16	2908	NCBI Ortholog
18008	Nes	nestin	Mus musculus	house mouse	PROTEIN_CODING	2	10763	NCBI Ortholog
11920	Atm	ataxia telangiectasia mutated	Mus musculus	house mouse	PROTEIN_CODING	4	472	NCBI Ortholog
12504	Cd4	CD4 antigen	Mus musculus	house mouse	PROTEIN_CODING	3	920	NCBI Ortholog
12912	Creb1	cAMP responsive element binding protein 1	Mus musculus	house mouse	PROTEIN_CODING	21	1385	NCBI Ortholog
16177	Il1r1	interleukin 1 receptor, type I	Mus musculus	house mouse	PROTEIN_CODING	14	3554	NCBI Ortholog
16186	Il2rg	interleukin 2 receptor, gamma chain	Mus musculus	house mouse	PROTEIN_CODING	3	3561	NCBI Ortholog
16476	Jun	jun proto-oncogene	Mus musculus	house mouse	PROTEIN_CODING	1	3725	NCBI Ortholog
18439	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	Mus musculus	house mouse	PROTEIN_CODING	5	5027	NCBI Ortholog
20315	Cxcl12	C-X-C motif chemokine ligand 12	Mus musculus	house mouse	PROTEIN_CODING	3	6387	NCBI Ortholog
20617	Snca	synuclein, alpha	Mus musculus	house mouse	PROTEIN_CODING	2	6622	NCBI Ortholog
12443	Ccnd1	cyclin D1	Mus musculus	house mouse	PROTEIN_CODING	2	595	NCBI Ortholog
12505	Cd44	CD44 antigen	Mus musculus	house mouse	PROTEIN_CODING	10	960	NCBI Ortholog
14281	Fos	FBJ osteosarcoma oncogene	Mus musculus	house mouse	PROTEIN_CODING	1	2353	NCBI Ortholog
20604	Sst	somatostatin	Mus musculus	house mouse	PROTEIN_CODING	2	6750	NCBI Ortholog
12266	C3	complement component 3	Mus musculus	house mouse	PROTEIN_CODING	2	718	NCBI Ortholog
12478	Cd19	CD19 antigen	Mus musculus	house mouse	PROTEIN_CODING	5	930	NCBI Ortholog
13162	Slc6a3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	Mus musculus	house mouse	PROTEIN_CODING	4	6531	NCBI Ortholog
15894	Icam1	intercellular adhesion molecule 1	Mus musculus	house mouse	PROTEIN_CODING	1	3383	NCBI Ortholog
16173	Il18	interleukin 18	Mus musculus	house mouse	PROTEIN_CODING	11	3606	NCBI Ortholog
20852	Stat6	signal transducer and activator of transcription 6	Mus musculus	house mouse	PROTEIN_CODING	1	6778	NCBI Ortholog
13983	Esr2	estrogen receptor 2 (beta)	Mus musculus	house mouse	PROTEIN_CODING	3	2100	NCBI Ortholog
14173	Fgf2	fibroblast growth factor 2	Mus musculus	house mouse	PROTEIN_CODING	3	2247	NCBI Ortholog
16160	Il12b	interleukin 12b	Mus musculus	house mouse	PROTEIN_CODING	1	3593	NCBI Ortholog
77125	Il33	interleukin 33	Mus musculus	house mouse	PROTEIN_CODING	5	90865	NCBI Ortholog
14415	Gad1	glutamate decarboxylase 1	Mus musculus	house mouse	PROTEIN_CODING	14	2571	NCBI Ortholog
14632	Gli1	GLI-Kruppel family member GLI1	Mus musculus	house mouse	PROTEIN_CODING	1	2735	NCBI Ortholog
15979	Ifngr1	interferon gamma receptor 1	Mus musculus	house mouse	PROTEIN_CODING	1	3459	NCBI Ortholog
17196	Mbp	myelin basic protein	Mus musculus	house mouse	PROTEIN_CODING	21	4155	NCBI Ortholog
18505	Pax3	paired box 3	Mus musculus	house mouse	PROTEIN_CODING	2	5077	NCBI Ortholog
18627	Per2	period circadian clock 2	Mus musculus	house mouse	PROTEIN_CODING	4	8864	NCBI Ortholog
11865	Bmal1	basic helix-loop-helix ARNT like 1	Mus musculus	house mouse	PROTEIN_CODING	27	406	NCBI Ortholog
12767	Cxcr4	C-X-C motif chemokine receptor 4	Mus musculus	house mouse	PROTEIN_CODING	4	7852	NCBI Ortholog
12977	Csf1	colony stimulating factor 1 (macrophage)	Mus musculus	house mouse	PROTEIN_CODING	6	1435	NCBI Ortholog
17927	Myod1	myogenic differentiation 1	Mus musculus	house mouse	PROTEIN_CODING	1	4654	NCBI Ortholog
18212	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	Mus musculus	house mouse	PROTEIN_CODING	12	4915	NCBI Ortholog
21938	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	Mus musculus	house mouse	PROTEIN_CODING	2	7133	NCBI Ortholog
21939	Cd40	CD40 antigen	Mus musculus	house mouse	PROTEIN_CODING	7	958	NCBI Ortholog
110066	Tcrd	T cell receptor delta chain	Mus musculus	house mouse	PROTEIN_CODING	NA	NA	
18390	Oprm1	opioid receptor, mu 1	Mus musculus	house mouse	PROTEIN_CODING	15	4988	NCBI Ortholog
20528	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	Mus musculus	house mouse	PROTEIN_CODING	5	6517	NCBI Ortholog
22337	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	Mus musculus	house mouse	PROTEIN_CODING	1	7421	NCBI Ortholog
11540	Adora2a	adenosine A2a receptor	Mus musculus	house mouse	PROTEIN_CODING	11	135	NCBI Ortholog
13489	Drd2	dopamine receptor D2	Mus musculus	house mouse	PROTEIN_CODING	2	1813	NCBI Ortholog
14526	Gcg	glucagon	Mus musculus	house mouse	PROTEIN_CODING	1	2641	NCBI Ortholog
14810	Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	Mus musculus	house mouse	PROTEIN_CODING	8	2902	NCBI Ortholog
105787	Prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	Mus musculus	house mouse	PROTEIN_CODING	3	5562	NCBI Ortholog
18566	Pdcd1	programmed cell death 1	Mus musculus	house mouse	PROTEIN_CODING	1	5133	NCBI Ortholog
18595	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	Mus musculus	house mouse	PROTEIN_CODING	8	5156	NCBI Ortholog
19264	Ptprc	protein tyrosine phosphatase receptor type C	Mus musculus	house mouse	PROTEIN_CODING	9	5788	NCBI Ortholog
20997	T	brachyury, T-box transcription factor T	Mus musculus	house mouse	PROTEIN_CODING	1	6862	NCBI Ortholog
11607	Agtr1a	angiotensin II receptor, type 1a	Mus musculus	house mouse	PROTEIN_CODING	3	NA	
12981	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	Mus musculus	house mouse	PROTEIN_CODING	2	1437	NCBI Ortholog
13796	Emx1	empty spiracles homeobox 1	Mus musculus	house mouse	PROTEIN_CODING	1	2016	NCBI Ortholog
14083	Ptk2	PTK2 protein tyrosine kinase 2	Mus musculus	house mouse	PROTEIN_CODING	51	5747	NCBI Ortholog
14183	Fgfr2	fibroblast growth factor receptor 2	Mus musculus	house mouse	PROTEIN_CODING	3	2263	NCBI Ortholog
17390	Mmp2	matrix metallopeptidase 2	Mus musculus	house mouse	PROTEIN_CODING	2	4313	NCBI Ortholog
17967	Ncam1	neural cell adhesion molecule 1	Mus musculus	house mouse	PROTEIN_CODING	29	4684	NCBI Ortholog
18646	Prf1	perforin 1 (pore forming protein)	Mus musculus	house mouse	PROTEIN_CODING	2	5551	NCBI Ortholog
22173	Tyr	tyrosinase	Mus musculus	house mouse	PROTEIN_CODING	3	7299	NCBI Ortholog
12394	Runx1	runt related transcription factor 1	Mus musculus	house mouse	PROTEIN_CODING	4	861	NCBI Ortholog
12487	Cd28	CD28 antigen	Mus musculus	house mouse	PROTEIN_CODING	2	940	NCBI Ortholog
12491	Cd36	CD36 molecule	Mus musculus	house mouse	PROTEIN_CODING	12	948	NCBI Ortholog
12608	Cebpb	CCAAT/enhancer binding protein beta	Mus musculus	house mouse	PROTEIN_CODING	3	1051	NCBI Ortholog
15376	Foxa2	forkhead box A2	Mus musculus	house mouse	PROTEIN_CODING	3	3170	NCBI Ortholog
16001	Igf1r	insulin-like growth factor I receptor	Mus musculus	house mouse	PROTEIN_CODING	7	3480	NCBI Ortholog
11596	Ager	advanced glycosylation end product-specific receptor	Mus musculus	house mouse	PROTEIN_CODING	8	177	NCBI Ortholog
13653	Egr1	early growth response 1	Mus musculus	house mouse	PROTEIN_CODING	1	1958	NCBI Ortholog
142980	Tlr3	toll-like receptor 3	Mus musculus	house mouse	PROTEIN_CODING	8	7098	NCBI Ortholog
15452	Hprt1	hypoxanthine phosphoribosyltransferase 1	Mus musculus	house mouse	PROTEIN_CODING	1	3251	NCBI Ortholog
16168	Il15	interleukin 15	Mus musculus	house mouse	PROTEIN_CODING	18	3600	NCBI Ortholog
16337	Insr	insulin receptor	Mus musculus	house mouse	PROTEIN_CODING	4	3643	NCBI Ortholog
12525	Cd8a	CD8 subunit alpha	Mus musculus	house mouse	PROTEIN_CODING	2	925	NCBI Ortholog
12647	Chat	choline O-acetyltransferase	Mus musculus	house mouse	PROTEIN_CODING	1	1103	NCBI Ortholog
13813	Eomes	eomesodermin	Mus musculus	house mouse	PROTEIN_CODING	3	8320	NCBI Ortholog
16002	Igf2	insulin-like growth factor 2	Mus musculus	house mouse	PROTEIN_CODING	8	3481	NCBI Ortholog
170743	Tlr7	toll-like receptor 7	Mus musculus	house mouse	PROTEIN_CODING	6	51284	NCBI Ortholog
17311	Kitl	kit ligand	Mus musculus	house mouse	PROTEIN_CODING	6	4254	NCBI Ortholog
17319	Mif	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	Mus musculus	house mouse	PROTEIN_CODING	1	4282	NCBI Ortholog
18040	Nefm	neurofilament, medium polypeptide	Mus musculus	house mouse	PROTEIN_CODING	1	4741	NCBI Ortholog
12824	Col2a1	collagen, type II, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	3	1280	NCBI Ortholog
14360	Fyn	Fyn proto-oncogene	Mus musculus	house mouse	PROTEIN_CODING	22	2534	NCBI Ortholog
16163	Il13	interleukin 13	Mus musculus	house mouse	PROTEIN_CODING	1	3596	NCBI Ortholog
16333	Ins1	insulin I	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
17342	Mitf	melanogenesis associated transcription factor	Mus musculus	house mouse	PROTEIN_CODING	24	4286	NCBI Ortholog
22431	Wt1	WT1 transcription factor	Mus musculus	house mouse	PROTEIN_CODING	1	7490	NCBI Ortholog
22601	Yap1	yes-associated protein 1	Mus musculus	house mouse	PROTEIN_CODING	8	10413	NCBI Ortholog
14182	Fgfr1	fibroblast growth factor receptor 1	Mus musculus	house mouse	PROTEIN_CODING	3	2260	NCBI Ortholog
14463	Gata4	GATA binding protein 4	Mus musculus	house mouse	PROTEIN_CODING	4	2626	NCBI Ortholog
16854	Lgals3	lectin, galactose binding, soluble 3	Mus musculus	house mouse	PROTEIN_CODING	2	3958	NCBI Ortholog
18787	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1	Mus musculus	house mouse	PROTEIN_CODING	1	5054	NCBI Ortholog
57765	Tbx21	T-box 21	Mus musculus	house mouse	PROTEIN_CODING	1	30009	NCBI Ortholog
11441	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
11848	Rhoa	ras homolog family member A	Mus musculus	house mouse	PROTEIN_CODING	3	387	NCBI Ortholog
12322	Camk2a	calcium/calmodulin-dependent protein kinase II alpha	Mus musculus	house mouse	PROTEIN_CODING	5	815	NCBI Ortholog
13866	Erbb2	erb-b2 receptor tyrosine kinase 2	Mus musculus	house mouse	PROTEIN_CODING	1	2064	NCBI Ortholog
14130	Fcgr2b	Fc receptor, IgG, low affinity IIb	Mus musculus	house mouse	PROTEIN_CODING	9	NA	
14268	Fn1	fibronectin 1	Mus musculus	house mouse	PROTEIN_CODING	12	2335	NCBI Ortholog
15567	Slc6a4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	Mus musculus	house mouse	PROTEIN_CODING	1	6532	NCBI Ortholog
16409	Itgam	integrin alpha M	Mus musculus	house mouse	PROTEIN_CODING	2	3684	NCBI Ortholog
16452	Jak2	Janus kinase 2	Mus musculus	house mouse	PROTEIN_CODING	8	3717	NCBI Ortholog
