Disease	Type
"Blood Group, Dombrock System"	"1,21"
Radin Blood Group Antigen	"1,21"
"Blood Group System, Landsteiner-Wiener"	"1,21"
Blood Group--Wright Antigen	"1,21"
Hypoglycemia	"1,5,21,23"
Thrombasthenia	"1,24"
Plasminogen Activator Inhibitor-1 Deficiency	"1,12,21"
Intracranial Sinus Thrombosis	"1,3,13"
Hemometra	"1,15"
Venous Thoracic Outlet Syndrome	"1,3,24"
Primary Release Disorder of Platelets	"1,24"
Factor V Excess with Spontaneous Thrombosis	1
Iliac Vein Thrombophlebitis	"1,3"
Hereditary Antithrombin Deficiency Type 2	"1,24"
Hermansky-Pudlak Syndrome	"1,6,8,13,16,17,21,23,24"
Hyperuricemia	"1,23"
Sea-Blue Histiocyte Disease	"1,2,8,17,21,23,24"
"Hyperlysinemia, Type I"	"1,14,21,23,24"
"Thrombocytopenia, Anemia, and Myelofibrosis"	"1,21"
Neutropenia	"1,2,5,8,13,16,19,21,22,24"
Vitamin K Deficiency Bleeding	"1,5,7,23"
Babesiosis	"1,22,24"
"Spondyloepiphyseal Dysplasia, Kondo-Fu Type"	"1,2,21"
Autoimmune Disease of Blood	"1,8"
Thrombophlebitis Migrans	"1,3"
Achenbach Syndrome	"1,17"
"Blood Group, Emm System"	"1,21"
"Blood Group, Vel System"	"1,21"
Isolated Splenic Vein Thrombosis	"1,3,7,24"
Blood Group--Swann System	"1,21"
Shwachman-Diamond Syndrome 1	"1,2,5,7,13,19,20,21,24"
Diabetes Mellitus	"1,5,8,15,21,23,24"
Takayasu Arteritis	"1,2,3,8,12,16,20,24"
Gestational Diabetes	"1,15,21,23"
Ischemia	"1,3,23"
Endocarditis	"1,3,22"
Hypolipoproteinemia	"1,5,19,21,23,24"
Venous Insufficiency	"1,3"
Hyperhomocysteinemia	"1,21,23"
Calciphylaxis	"1,2,3,17,23,24"
Trichuriasis	"1,7,22,24"
Ischemic Colitis	"1,7"
"Pyropoikilocytosis, Hereditary"	"1,21,24"
Shwartzman Phenomenon	"1,3,24"
"Platelet Aggregation, Spontaneous"	1
Cerebral Sinovenous Thrombosis	"1,13,24"
Ehlers-Danlos Syndrome with Platelet Dysfunction from Fibronectin Abnormality	"1,24"
Complications After Hematopoietic Stem Cell Transplantation	"1,24"
Plasmodium Falciparum Blood Infection Level	1
Platelet Membrane Fluidity	1
Acquired Amegakaryocytic Thrombocytopenia	"1,2,8,19,21,24"
Platelet Groups--Ko System	1
White Blood Cell Count Quantitative Trait Locus 1	"1,21"
Platelet Factor 3 Deficiency	1
Beemer Lethal Malformation Syndrome	"1,2,15"
Platelet Adenylate Cyclase Activity	1
Platelet Prostacyclin Receptor Defect	1
"Platelet Disorder, Undefined"	1
Genetic Hemoglobinopathy	"1,24"
Platelet Signal Processing Defect	1
Hemoglobin Zurich	"1,24"
"Osteochondrodysplasia, Rhizomelic, with Callosal Agenesis, Thrombocytopenia, Hydrocephalus, and Hypertension"	"1,2"
Hemoglobin--Variants for Which the Chain Carrying the Mutation is Unknown or Uncertain	1
"Athrombia, Essential"	1
"Plasma Clot Retraction Factor, Deficiency of"	1
Yt Blood Group Antigen	"1,21"
"Thalassemia, Beta+, Silent Allele"	1
"Platelet Responsiveness to Adrenaline, Depressed"	"1,5"
Tau Syndrome	"1,24"
"Hematopoietic Stem Cell Kinetics, Control of"	1
Thrombocyte B	1
Thrombocytopenia Robin Sequence	"1,24"
Blood Group--Ahonen	1
Rare Genetic Hematologic Disease	"1,24"
Blood Group--Private Systems	1
Sickle Delta Beta Thalassemia	"1,24"
Prostaglandin-Endoperoxide Synthase Deficiency	"1,24"
Rare Disorder Due to Unbalanced Inter-Twin Blood Transfusion	"1,15,24"
Genetic Thrombotic Microangiopathy	"1,24"
Hereditary Antithrombin Deficiency Type I	"1,24"
Rare Disorder Potentially Indicated for Hematopoietic Stem Cell Transplant	"1,24"
Myelofibrosis	"1,19,21,24"
Aceruloplasminemia	"1,6,13,21,23,24"
Aortic Aneurysm	"1,3"
Dyskeratosis Congenita	"1,2,6,8,13,17,20,21,24"
Megaloblastic Anemia	"1,7,12,23,24"
Myelodysplastic Syndrome	"1,21,24"
Aicardi-Goutieres Syndrome	"1,2,8,9,13,21,24"
Antithrombin Iii Deficiency	"1,2,21,24"
Hemangioma	"1,3,19,20,24"
Periodontitis	"1,7,14,24"
Myeloid Leukemia	"1,8,19,21,24"
Trichohepatoenteric Syndrome 1	"1,2,7,8,9,21,24"
"Hypercalcemia, Infantile, 1"	"1,12,21"
Diffuse Large B-Cell Lymphoma	"1,8,19,24"
Hyperinsulinemic Hypoglycemia	"1,5,9,13,20,21,23,24"
Hellp Syndrome	"1,3,15,24"
Dengue Virus	"1,9,11,21,22,24"
"Folate Malabsorption, Hereditary"	"1,7,13,21,23,24"
Blood Platelet Disease	1
Angioimmunoblastic T-Cell Lymphoma	"1,8,19,24"
Congenital Dyserythropoietic Anemia	"1,2,8,9,20,21,23,24"
Chronic Eosinophilic Leukemia	"1,19,24"
Cryoglobulinemia	"1,8"
Erythroleukemia	"1,19,21"
Atransferrinemia	"1,21,23,24"
Cavernous Hemangioma	1
Microcytic Anemia	1
Hennekam Syndrome	"1,3,8,13,17,20,24"
Hemopericardium	"1,3"
Acute Myeloblastic Leukemia with Maturation	"1,24"
Methemoglobinemia	"1,13,17,21,24"
Macrocytic Anemia	1
Poikiloderma with Neutropenia	"1,17,21,24"
Indolent Systemic Mastocytosis	"1,24"
"Anemia, Sideroblastic, 2, Pyridoxine-Refractory"	"1,21,23,24"
Homocystinuria Caused by Cystathionine Beta-Synthase Deficiency	"1,6,13,20,23,24"
Preeclampsia/eclampsia 1	"1,21"
Spondyloenchondrodysplasia with Immune Dysregulation	"1,2,20,21,24"
Vitamin D-Dependent Rickets	"1,2,5,20,21,23,24"
Refractory Anemia with Excess Blasts	"1,24"
Leukostasis	1
Hyperprolinemia	"1,10,12,13,21,23,24"
Hypochromic Microcytic Anemia	1
Myeloid and Lymphoid Neoplasms Associated with Pdgfra Rearrangement	"1,19,24"
Tricuspid Valve Stenosis	"1,3"
Congenital Nonspherocytic Hemolytic Anemia	1
"Anemia, Hypochromic Microcytic, with Iron Overload 1"	"1,9,21,24"
Neonatal Anemia	1
Leukocyte Disease	1
Glutamate-Cysteine Ligase Deficiency	"1,21,23,24"
Anemia of Prematurity	"1,20"
Diamond-Blackfan Anemia 15 with Mandibulofacial Dysostosis	"1,21"
Methylmalonic Acidemia with Homocystinuria	"1,13,23,24"
Acute Mountain Sickness	"1,16,24"
"Hemolytic Anemia, Nonspherocytic, Due to Hexokinase Deficiency"	"1,21,24"
Immunodeficiency 78 with Autoimmunity and Developmental Delay	"1,2,21,24"
Acidophil Adenoma	"1,5,19"
Protein-Deficiency Anemia	"1,8"
Rh Isoimmunization	1
Glycosylphosphatidylinositol Biosynthesis Defect 11	"1,2,3,10,13,20,21,24"
"Factor Xiii, a Subunit, Deficiency of"	"1,21"
Inherited Bone Marrow Failure Syndromes	"1,2,8,17,21,24"
Fibrinolytic Defect	1
Giant Hemangioma	1
"Uridine 5-Prime Monophosphate Hydrolase Deficiency, Hemolytic Anemia Due to"	"1,21,23,24"
Familial Afibrinogenemia	"1,21,24"
Cimdag Syndrome	"1,13,20,21,24"
Refractory Anemia with Excess Blasts in Transformation	"1,24"
Hyperglobulinemic Purpura	1
Disseminated Eosinophilic Collagen Disease	1
Dic in Newborn	1
Physiological Polycythemia	1
"Factor Xiii, B Subunit, Deficiency of"	"1,21"
L-Ferritin Deficiency	"1,13,21,24"
Hemolytic Anemia Due to Glutathione Reductase Deficiency	"1,21,24"
"Hyper-Ige Recurrent Infection Syndrome 4a, Autosomal Dominant"	"1,2,8,17,21,22,24"
Idiopathic Multicentric Castleman Disease	"1,24"
Homocystinuria Without Methylmalonic Aciduria	"1,13,23,24"
"Adenylate Kinase Deficiency, Hemolytic Anemia Due to"	"1,21,24"
Plethora of Newborn	1
Drug-Induced Autoimmune Hemolytic Anemia	"1,8,24"
Sulfhemoglobinemia	1
Atypical Hemolytic Uremic Syndrome with Complement Gene Abnormality	"1,12,24"
6-Phosphogluconate Dehydrogenase Deficiency	"1,24"
"Adenosine Deaminase, Elevated, Hemolytic Anemia Due to"	"1,21"
Hemophilia B Leyden	"1,24"
Telangiectasia Macularis Eruptiva Perstans	"1,17,24"
Low-Flow Priapism	"1,24"
Atrial Fibrillation and Stroke	1
Plasma Cell Tumor	"1,24"
"Hyperbilirubinemia, Shunt, Primary"	1
Ricin Poisoning	"1,14,16,24"
Braddock-Carey Syndrome 2	"1,21"
"Bleeding Disorder, East Texas Type"	"1,24"
Acquired Factor Xiii Deficiency	"1,24"
Hereditary Cryohydrocytosis with Normal Stomatin	"1,24"
Localized Pagetoid Reticulosis	"1,17,24"
Pyridoxine-Responsive Sideroblastic Anemia	"1,24"
Acquired Factor Vii Deficiency	"1,24"
Lutheran Null	"1,21"
Hhv-8-Associated Multicentric Castleman Disease	"1,24"
X-Linked Mendelian Susceptibility to Mycobacterial Diseases	"1,8,24"
Multiple Paragangliomas Associated with Polycythemia	"1,5,24"
Cavernous Hemangioma of Face	1
Mycosis Fungoides and Variants	"1,17,24"
Cellular Phase Chronic Idiopathic Myelofibrosis	"1,19"
Unclassified Myelodysplastic/myeloproliferative Disease	"1,24"
Solitary Plasmacytoma of Chest Wall	"1,8,19"
Autosomal Dominant Mendelian Susceptibility to Mycobacterial Diseases Due to Partial Ifngammar2 Deficiency	"1,24"
Bleeding Diathesis Due to Glycoprotein Vi Deficiency	"1,24"
Cavernous Hemangioma of Orbit	1
Autosomal Recessive Severe Congenital Neutropenia Due to Cxcr2 Deficiency	"1,8,24"
Hyper-Igm Syndrome with Susceptibility to Opportunistic Infections	"1,24"
Myeloid Hemopathy	"1,24"
Genetic Hemolytic Uremic Syndrome	"1,24"
Dehydration Polycythemia	1
Dense Granule Disease	"1,24"
Autosomal Recessive Mendelian Susceptibility to Mycobacterial Diseases Due to a Complete Deficiency	"1,24"
Aminolevulinic Acid Dehydratase Deficiency Porphyria	1
Protein S Acquired Deficiency	"1,24"
Alpha Granule Disease	"1,24"
Histiocytic and Dendritic Cell Tumor	"1,24"
Factor V Amsterdam Bleeding Disorder	"1,24"
Combined Deficiency of Factor Vii and Factor X	"1,24"
Genetic Susceptibility to Infections Due to Particular Pathogens	"1,24"
Congenital Vitamin K-Dependent Coagulation Factors Deficiency	"1,24"
Vitamin B12- and Folate-Independent Constitutional Megaloblastic Anemia	"1,24"
Portal Vein Thrombosis	"1,3,7,9"
Malaria	"1,7,19,21,22,24"
Chronic Thromboembolic Pulmonary Hypertension	"1,3,16,24"
Immunodeficiency 71 with Inflammatory Disease and Congenital Thrombocytopenia	"1,3,8,21"
Pulmonary Embolism	"1,3,16"
Urinary Schistosomiasis	"1,12,19,22"
Primitive Portal Vein Thrombosis	"1,3,9,24"
Pulmonary Hypertension	"1,3,16,21,24"
"Thiopurines, Poor Metabolism of, 1"	"1,2,8,19,21,23"
Glut1 Deficiency Syndrome 1	"1,6,13,21"
Macrothrombocytopenia Progressive Deafness	"1,4,24"
Gitelman Syndrome	"1,11,12,21,23,24"
Varicose Veins	"1,3,17"
Antiphospholipid Syndrome	"1,2,3,8,15,21,24"
Methemoglobinemia Due to Deficiency of Methemoglobin Reductase	"1,10,13,21"
Glucose Transporter Type 1 Deficiency Syndrome	"1,13"
"Periodic Fever, Immunodeficiency, and Thrombocytopenia Syndrome"	"1,8,16,21"
Cytogenetically Normal Acute Myeloid Leukemia	"1,19"
"Carbamoyl Phosphate Synthetase I Deficiency, Hyperammonemia Due to"	"1,5,16,21,23,24"
Splenic Infarction	"1,3,8,24"
"Drug Metabolism, Poor, Cyp2c19-Related"	"1,21,23"
"Angiolipomatosis, Familial"	"1,11,17,21,24"
De Novo Thrombotic Microangiopathy After Kidney Transplantation	"1,8,12,24"
Isolated Mesenteric Vein Thrombosis	"1,3,7,24"
Kidney Disease	"1,12,21"
Tetralogy of Fallot	"1,3,16,20,21,24"
Brugada Syndrome	"1,3,16,21,24"
Peripheral Vascular Disease	"1,3"
"Arthrogryposis, Renal Dysfunction, and Cholestasis 1"	"1,9,12,13,17,20,21,23,24"
Abdominal Obesity-Metabolic Syndrome 1	"1,3,5,21,23"
Atrial Fibrillation	"1,3,16,21,24"
Lung Disease	"1,16"
Hyperprolactinemia	"1,5,15,21,23,24"
Shigellosis	"1,7,22,24"
Glomerulonephritis	"1,8,12,24"
Cardiovascular System Disease	"1,3,8"
Liddle Syndrome 1	"1,3,12,21,23,24"
Glycogen Storage Disease	"1,2,3,5,9,11,12,13,21,23,24"
Iron Metabolism Disease	"1,5,16,23"
Placental Insufficiency	"1,3,15,20,23,24"
Prediabetes Syndrome	"1,5,21,23"
Infective Endocarditis	"1,3,12,17,22,24"
Orthostatic Hypotension	"1,3,6,12,13,21,24"
Peripartum Cardiomyopathy	"1,3,11,15,24"
Retinal Ischemia	"1,3,6,13"
Carotid Artery Disease	"1,3,13"
Hypermethioninemia	"1,9,21,23"
Hypertension and Brachydactyly Syndrome	"1,2,3,12,13,20,21,24"
Loeffler Endocarditis	"1,3,16,19,24"
Calcium Oxalate Nephrolithiasis	"1,12,21"
Carotid Artery Thrombosis	"1,3,13"
Hypoplastic Right Heart Syndrome	"1,3,16,20,24"
Lipoprotein Glomerulopathy	"1,5,12,21,23,24"
Rhizomelic Skeletal Dysplasia with or Without Pelger-Huet Anomaly	"1,2,20,21,24"
"Portal Hypertension, Noncirrhotic, 1"	"1,8,9,21"
Primordial Dwarfism-Immunodeficiency-Lipodystrophy Syndrome	"1,8,21"
Hughes-Stovin Syndrome	"1,2,3,16,24"
Immunodeficiency 81	"1,8,21"
Disorder of Tyrosine Metabolism	"1,5,23,24"
Segmental Arterial Mediolysis	"1,3,10,24"
Forsythe-Wakeling Syndrome	"1,12"
Familial Abdominal Aortic Aneurysm	"1,3,21,24"
Thrombocytopenia with Elevated Serum Iga and Renal Disease	"1,12,24"
Rare Intellectual Disability	"1,7,10,13,20,24"
Uterus Bicornis Bicollis with Partial Vaginal Septum and Unilateral Hematocolpos with Ipsilateral Renal Agenesis	"1,12,15"
"Antithrombin, Familial Hemorrhagic Diathesis Due to"	"1,21"
Hematological Disease Associated with an Acquired Peripheral Neuropathy	"1,13,24"
Hematological Disorder with Renal Involvement	"1,12,24"
Genetic Tumor of Hematopoietic and Lymphoid Tissues	"1,8,24"
Inherited Hematologic Cancer-Predisposing Syndrome	"1,19,24"
Heart Disease	"1,3,10,16,20,21,24"
Liver Disease	"1,2,5,7,9,14,16,21,23,24"
"Leukemia, Acute Lymphoblastic"	"1,8,19,21,24"
Polycythemia Vera	"1,19,21,24"
Congestive Heart Failure	"1,3"
Cerebrovascular Disease	"1,3,13"
"Apnea, Obstructive Sleep"	"1,10,16"
Factor Vii Deficiency	"1,21,24"
Gaucher's Disease	"1,2,3,6,8,13,16,21,23,24"
"Severe Combined Immunodeficiency, X-Linked"	"1,8,14,21,24"
Cardiac Arrest	"1,3"
Agammaglobulinemia	"1,8,19,21,22,24"
Hypoplastic Left Heart Syndrome	"1,3,16,20,21,24"
Plasma Cell Neoplasm	"1,8,19"
Von Willebrand's Disease	"1,7,8,21,24"
Gout	"1,2,12,17,23"
Factor Viii Deficiency	"1,21"
Acute Promyelocytic Leukemia	"1,19,21,24"
"Acyl-Coa Dehydrogenase, Medium-Chain, Deficiency of"	"1,9,21,23,24"
Cohen Syndrome	"1,5,6,13,20,21,24"
Osteopetrosis	"1,2,4,6,8,9,12,13,19,20,21,24"
Purine Nucleoside Phosphorylase Deficiency	"1,8,13,21,23,24"
Perinatal Necrotizing Enterocolitis	"1,7,20,24"
Cyclic Neutropenia	"1,21,24"
"Bleeding Disorder, Platelet-Type, 11"	"1,2,8,21,24"
Autonomic Nervous System Disease	"1,13,24"
Severe Combined Immunodeficiency with Sensitivity to Ionizing Radiation	"1,8,21,24"
Bilirubin Metabolic Disorder	"1,21,23"
Factor X Deficiency	"1,21,24"
Dengue Hemorrhagic Fever	"1,22"
Hereditary Spherocytosis	"1,8,21,24"
Osteonecrosis	"1,2,24"
B-Cell Expansion with Nfkb and T-Cell Anergy	"1,8,21,24"
Reticular Dysgenesis	"1,8,21,24"
Platelet Glycoprotein Iv Deficiency	"1,21"
Poems Syndrome	"1,13,24"
Salmonellosis	"1,8,22,24"
Purpura	"1,17"
Cardiogenic Shock	"1,3,24"
Barth Syndrome	"1,13,21,23,24"
Aortic Valve Insufficiency	"1,3,16,20,21,24"
Thrombocytosis	1
Acute Myelomonocytic Leukemia	"1,19,21,24"
Revesz Syndrome	"1,6,17,21,24"
Immunodeficiency 10	"1,8,17,21,24"
Pulmonary Alveolar Proteinosis	"1,16,24"
T-Cell Immunodeficiency with Thymic Aplasia	"1,8,21,24"
"Esophagitis, Eosinophilic, 1"	"1,7"
Monocytic Leukemia	"1,8,19"
Aggressive Systemic Mastocytosis	"1,8,19,24"
Heart Valve Disease	"1,3,16"
Pancytopenia	1
Beta-Thalassemia Intermedia	"1,5,12,21,24"
Pulmonary Eosinophilia	"1,16"
Tricuspid Valve Disease	"1,3"
Intestinal Schistosomiasis	"1,7,22"
Hemoglobinuria	"1,8,12"
"Anemia, Sideroblastic, and Spinocerebellar Ataxia"	"1,6,21,24"
Pure Red-Cell Aplasia	"1,2,8,24"
Multisystem Inflammatory Syndrome in Children	"1,22"
Pulmonary Hemosiderosis	"1,16,23,24"
Immunodeficiency 11	"1,8,21,24"
Refractory Anemia	"1,19,24"
Hypertensive Heart Disease	"1,3"
Lymphomatoid Granulomatosis	"1,8,19,24"
Storage Pool Platelet Disease	1
Acquired Idiopathic Sideroblastic Anemia	"1,24"
Splenic Disease	"1,8"
Whipple Disease	"1,7,13,22,24"
"Myeloproliferative Disorder, Chronic, with Eosinophilia"	"1,19,24"
Alpha-2-Plasmin Inhibitor Deficiency	"1,21"
Complement Component 3 Deficiency	"1,8,24"
Protein S Deficiency	"1,3,16,24"
Overhydrated Hereditary Stomatocytosis	"1,21,24"
Immunodeficiency 73a with Defective Neutrophil Chemotaxis and Leukocytosis	"1,8,21,24"
Glycine N-Methyltransferase Deficiency	"1,9,21,23,24"
Qualitative Platelet Defect	"1,8"
Blood Coagulation Disease	1
Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue	"1,8,19"
Factor Xiii Deficiency	"1,21,24"
Primary Mediastinal B-Cell Lymphoma	"1,8,19,24"
Purpura Fulminans	"1,17,24"
Alpha-Thalassemia Myelodysplasia Syndrome	"1,21,24"
Chronic Neutrophilic Leukemia	"1,19,24"
Extramedullary Plasmacytoma	"1,8,19"
Eosinophilia-Myalgia Syndrome	"1,13,24"
"Homocystinuria-Megaloblastic Anemia, Cblg Complementation Type"	"1,13,21,23,24"
Cholesterol Embolism	"1,3,12"
"Sting-Associated Vasculopathy, Infantile-Onset"	"1,2,3,8,16,17,21,24"
Thrombotic Microangiopathy	"1,12,24"
Acute Basophilic Leukemia	"1,19,24"
Retroperitoneal Fibrosis	"1,7,12"
"Thrombophilia, X-Linked, Due to Factor Ix Defect"	"1,21"
Heparin Cofactor Ii Deficiency	"1,21"
Fetal Erythroblastosis	"1,20"
Stress Polycythemia	"1,24"
Dysautonomia	"1,13,24"
Indolent Plasma Cell Myeloma	"1,19"
Nodular Lymphocyte Predominant Hodgkin Lymphoma	"1,8,19,24"
"Immunodeficiency with Hyper-Igm, Type 4"	"1,8,24"
Tn Polyagglutination Syndrome	"1,8,19,21"
Thalassemia Minor	"1,21"
Hemophagocytic Syndrome Associated with an Infection	"1,8,24"
Myelophthisic Anemia	"1,2,8"
Leech Infestation	"1,22"
Immunodeficiency 8 with Lymphoproliferation	"1,8,21,24"
Smoldering Myeloma	"1,19"
"Immunodeficiency 90 with Encephalopathy, Functional Hyposplenia, and Hepatic Dysfunction"	"1,21,24"
Blood Protein Disease	1
Functional Neutrophil Defect	"1,8,24"
Hemopneumothorax	"1,16"
"Coronary Artery Dissection, Spontaneous"	"1,3"
"Thrombophilia Due to Protein C Deficiency, Autosomal Dominant"	"1,21"
Sm-Ahnmd	1
Tick Infestation	"1,22"
Acute Monoblastic/monocytic Leukemia	"1,13,19,24"
Blood Group Incompatibility	1
"Methylmalonic Aciduria and Homocystinuria, Cblj Type"	"1,13,21,23,24"
Bombay Phenotype	"1,21"
Acute Megakaryoblastic Leukemia in Down Syndrome	"1,19,24"
"Hodgkin's Lymphoma, Lymphocytic Depletion"	"1,8,19,24"
Class I Glucose-6-Phosphate Dehydrogenase Deficiency	"1,24"
"Neutropenia, Nonimmune Chronic Idiopathic, of Adults"	"1,19,21,24"
Primary Cutaneous Anaplastic Large Cell Lymphoma	"1,8,17,24"
Refractory Cytopenia with Multilineage Dysplasia	"1,24"
Plummer-Vinson Syndrome	"1,7,8,24"
Dendritic Cell Tumor	"1,8,19,24"
Basophil Adenoma	"1,5,19"
Paroxysmal Cold Hemoglobinuria	"1,24"
"Thrombophilia Due to Protein S Deficiency, Autosomal Dominant"	"1,21"
Multifocal Lymphangioendotheliomatosis-Thrombocytopenia Syndrome	"1,3,20,24"
"Thrombocytopenia, Paris-Trousseau Type"	"1,20,24"
Orbit Lymphoma	"1,2,8,19"
Hemoglobin E-Beta-Thalassemia Syndrome	"1,24"
Immunodeficiency 42	"1,8,21,24"
Idiopathic Cd4 Lymphocytopenia	"1,8,24"
Neonatal Leukemia	"1,19"
"Thrombocytopenia, X-Linked, with or Without Dyserythropoietic Anemia"	"1,21,24"
Refractory Plasma Cell Neoplasm	"1,19"
Dehydrated Hereditary Stomatocytosis 2	"1,21"
Immunodeficiency 75 with Lymphoproliferation	"1,8,16,21,22"
Nodal Marginal Zone B-Cell Lymphoma	"1,8,24"
"Rh-Null, Regulator Type"	"1,21"
Twin Anemia-Polycythemia Sequence	"1,15,24"
T-B+ Severe Combined Immunodeficiency Due to Cd3delta/cd3epsilon/cd3zeta	"1,8,24"
Chronic Congestive Splenomegaly	"1,8"
Sickle Cell-Beta-Thalassemia Disease Syndrome	"1,24"
Acute Myeloid Leukemia with T(8;21)(q22;q22) Translocation	"1,19,24"
Congenital Fibrinogen Deficiency	"1,24"
Blue Toe Syndrome	"1,3"
Hereditary Combined Deficiency of Vitamin K-Dependent Clotting Factors	"1,21,23,24"
Autosomal Dominant Macrothrombocytopenia	"1,21,24"
Combined T and B Cell Immunodeficiency	"1,8,24"
Tempi Syndrome	"1,2,16,24"
Hemolytic Disease Due to Fetomaternal Alloimmunization	"1,20,24"
"Immunodeficiency, Common Variable, 11"	"1,7,8,21,24"
Myeloid Leukemia Associated with Down Syndrome	"1,19"
"Mixed Phenotype Acute Leukemia, T/myeloid"	"1,8,19"
Unicentric Castleman Disease	"1,8,24"
Hereditary Stomatocytosis	"1,24"
Pyosalpinx	"1,15"
Non-Secretory Myeloma	"1,19"
Bacterial Susceptibility Due to Tlr Signaling Pathway Deficiency	"1,8,22,24"
Acute Peripheral Arterial Occlusion	"1,3,24"
Hemophilic Arthropathy	"1,24"
Aregenerative Anemia	"1,24"
Chronic Lymphoproliferative Disorder of Natural Killer Cells	"1,8,19,24"
"Cyanosis, Transient Neonatal"	"1,20,21"
Hypercoagulability Syndrome Due to Glycosylphosphatidylinositol Deficiency	"1,13,23,24"
"Eosinophilia, Familial"	"1,21,24"
8p11 Myeloproliferative Syndrome	"1,8,9,19,24"
Acute Myeloid Leukemia with Myelodysplasia-Related Changes	"1,19"
X-Linked Thrombocytopenia with Normal Platelets	"1,8,22,24"
Mixed-Type Autoimmune Hemolytic Anemia	"1,24"
Recurrent Infection Due to Specific Granule Deficiency	"1,24"
Immunodeficiency Due to a Classical Component Pathway Complement Deficiency	"1,8,24"
Aids Wasting Syndrome	"1,24"
"Rh-Null, Amorph Type"	"1,8,21"
21q22.11q22.12 Microdeletion Syndrome	"1,13,20,24"
"Hemolytic Anemia, Congenital, X-Linked"	"1,21"
Primary Cutaneous Marginal Zone B-Cell Lymphoma	"1,8,17,24"
Neonatal Alloimmune Neutropenia	"1,24"
Cebpe-Associated Autoinflammation-Immunodeficiency-Neutrophil Dysfunction Syndrome	"1,2,8,17,24"
Immunodeficiency 99 with Hypogammaglobulinemia and Autoimmune Cytopenias	"1,8,21"
Mixed Phenotype Acute Leukemia with T	"1,19,24"
Isolated Agammaglobulinemia	"1,24"
Autosomal Monosomy	"1,6,10,19,20,21,24"
Epstein-Barr Virus-Positive Diffuse Large B-Cell Lymphoma of the Elderly	"1,8,19,24"
Hydroa Vacciniforme-Like Lymphoma	"1,8,9,24"
Acquired Prothrombin Deficiency	"1,9,24"
Thymus Lymphoma	"1,8,19"
Hemoglobin Lepore-Beta-Thalassemia Syndrome	"1,24"
Adult-Onset Immunodeficiency with Anti-Interferon-Gamma Autoantibodies	"1,8,24"
Unclassified Myelodysplastic Syndrome	"1,24"
B-Cell Immunodeficiency-Limb Anomaly-Urogenital Malformation Syndrome	"1,2,8,20,24"
