NCBI.GeneID	Symbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
2908	NR3C1	nuclear receptor subfamily 3 group C member 1	Homo sapiens	human	PROTEIN_CODING	22	2908	NCBI Ortholog
3077	HFE	homeostatic iron regulator	Homo sapiens	human	PROTEIN_CODING	15	3077	NCBI Ortholog
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	Homo sapiens	human	PROTEIN_CODING	80	2146	NCBI Ortholog
7515	XRCC1	X-ray repair cross complementing 1	Homo sapiens	human	PROTEIN_CODING	1	7515	NCBI Ortholog
3162	HMOX1	heme oxygenase 1	Homo sapiens	human	PROTEIN_CODING	1	3162	NCBI Ortholog
1565	CYP2D6	cytochrome P450 family 2 subfamily D member 6	Homo sapiens	human	PROTEIN_CODING	2	1565	NCBI Ortholog
3383	ICAM1	intercellular adhesion molecule 1	Homo sapiens	human	PROTEIN_CODING	1	3383	NCBI Ortholog
5970	RELA	RELA proto-oncogene, NF-kB subunit	Homo sapiens	human	PROTEIN_CODING	13	5970	NCBI Ortholog
6696	SPP1	secreted phosphoprotein 1	Homo sapiens	human	PROTEIN_CODING	5	6696	NCBI Ortholog
1557	CYP2C19	cytochrome P450 family 2 subfamily C member 19	Homo sapiens	human	PROTEIN_CODING	1	1557	NCBI Ortholog
50943	FOXP3	forkhead box P3	Homo sapiens	human	PROTEIN_CODING	2	50943	NCBI Ortholog
154	ADRB2	adrenoceptor beta 2	Homo sapiens	human	PROTEIN_CODING	1	154	NCBI Ortholog
2100	ESR2	estrogen receptor 2	Homo sapiens	human	PROTEIN_CODING	16	2100	NCBI Ortholog
3606	IL18	interleukin 18	Homo sapiens	human	PROTEIN_CODING	5	3606	NCBI Ortholog
120892	LRRK2	leucine rich repeat kinase 2	Homo sapiens	human	PROTEIN_CODING	23	120892	NCBI Ortholog
355	FAS	Fas cell surface death receptor	Homo sapiens	human	PROTEIN_CODING	26	355	NCBI Ortholog
2932	GSK3B	glycogen synthase kinase 3 beta	Homo sapiens	human	PROTEIN_CODING	5	2932	NCBI Ortholog
3135	HLA-G	major histocompatibility complex, class I, G	Homo sapiens	human	PROTEIN_CODING	40	3135	NCBI Ortholog
5925	RB1	RB transcriptional corepressor 1	Homo sapiens	human	PROTEIN_CODING	5	5925	NCBI Ortholog
1432	MAPK14	mitogen-activated protein kinase 14	Homo sapiens	human	PROTEIN_CODING	31	1432	NCBI Ortholog
3565	IL4	interleukin 4	Homo sapiens	human	PROTEIN_CODING	3	3565	NCBI Ortholog
5133	PDCD1	programmed cell death 1	Homo sapiens	human	PROTEIN_CODING	4	5133	NCBI Ortholog
3480	IGF1R	insulin like growth factor 1 receptor	Homo sapiens	human	PROTEIN_CODING	17	3480	NCBI Ortholog
7450	VWF	von Willebrand factor	Homo sapiens	human	PROTEIN_CODING	3	7450	NCBI Ortholog
142	PARP1	poly(ADP-ribose) polymerase 1	Homo sapiens	human	PROTEIN_CODING	1	142	NCBI Ortholog
335	APOA1	apolipoprotein A1	Homo sapiens	human	PROTEIN_CODING	8	335	NCBI Ortholog
177	AGER	advanced glycosylation end-product specific receptor	Homo sapiens	human	PROTEIN_CODING	34	177	NCBI Ortholog
183	AGT	angiotensinogen	Homo sapiens	human	PROTEIN_CODING	2	183	NCBI Ortholog
5979	RET	ret proto-oncogene	Homo sapiens	human	PROTEIN_CODING	41	5979	NCBI Ortholog
6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	Homo sapiens	human	PROTEIN_CODING	59	6714	NCBI Ortholog
857	CAV1	caveolin 1	Homo sapiens	human	PROTEIN_CODING	4	857	NCBI Ortholog
51738	GHRL	ghrelin and obestatin prepropeptide	Homo sapiens	human	PROTEIN_CODING	11	51738	NCBI Ortholog
2706	GJB2	gap junction protein beta 2	Homo sapiens	human	PROTEIN_CODING	3	2706	NCBI Ortholog
3688	ITGB1	integrin subunit beta 1	Homo sapiens	human	PROTEIN_CODING	3	3688	NCBI Ortholog
79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase	Homo sapiens	human	PROTEIN_CODING	37	79068	NCBI Ortholog
10413	YAP1	Yes1 associated transcriptional regulator	Homo sapiens	human	PROTEIN_CODING	19	10413	NCBI Ortholog
3690	ITGB3	integrin subunit beta 3	Homo sapiens	human	PROTEIN_CODING	1	3690	NCBI Ortholog
4292	MLH1	mutL homolog 1	Homo sapiens	human	PROTEIN_CODING	33	4292	NCBI Ortholog
64127	NOD2	nucleotide binding oligomerization domain containing 2	Homo sapiens	human	PROTEIN_CODING	32	64127	NCBI Ortholog
836	CASP3	caspase 3	Homo sapiens	human	PROTEIN_CODING	17	836	NCBI Ortholog
3630	INS	insulin	Homo sapiens	human	PROTEIN_CODING	4	3630	NCBI Ortholog
5621	PRNP	prion protein (Kanno blood group)	Homo sapiens	human	PROTEIN_CODING	6	5621	NCBI Ortholog
1543	CYP1A1	cytochrome P450 family 1 subfamily A member 1	Homo sapiens	human	PROTEIN_CODING	3	1543	NCBI Ortholog
3958	LGALS3	galectin 3	Homo sapiens	human	PROTEIN_CODING	3	3958	NCBI Ortholog
4582	MUC1	mucin 1, cell surface associated	Homo sapiens	human	PROTEIN_CODING	21	4582	NCBI Ortholog
1906	EDN1	endothelin 1	Homo sapiens	human	PROTEIN_CODING	5	1906	NCBI Ortholog
6648	SOD2	superoxide dismutase 2	Homo sapiens	human	PROTEIN_CODING	9	6648	NCBI Ortholog
6667	SP1	Sp1 transcription factor	Homo sapiens	human	PROTEIN_CODING	3	6667	NCBI Ortholog
9429	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	Homo sapiens	human	PROTEIN_CODING	11	9429	NCBI Ortholog
3934	LCN2	lipocalin 2	Homo sapiens	human	PROTEIN_CODING	3	3934	NCBI Ortholog
4153	MBL2	mannose binding lectin 2	Homo sapiens	human	PROTEIN_CODING	3	4153	NCBI Ortholog
5879	RAC1	Rac family small GTPase 1	Homo sapiens	human	PROTEIN_CODING	2	5879	NCBI Ortholog
3043	HBB	hemoglobin subunit beta	Homo sapiens	human	PROTEIN_CODING	1	3043	NCBI Ortholog
4312	MMP1	matrix metallopeptidase 1	Homo sapiens	human	PROTEIN_CODING	2	4312	NCBI Ortholog
6531	SLC6A3	solute carrier family 6 member 3	Homo sapiens	human	PROTEIN_CODING	1	6531	NCBI Ortholog
1027	CDKN1B	cyclin dependent kinase inhibitor 1B	Homo sapiens	human	PROTEIN_CODING	1	1027	NCBI Ortholog
1559	CYP2C9	cytochrome P450 family 2 subfamily C member 9	Homo sapiens	human	PROTEIN_CODING	1	1559	NCBI Ortholog
324	APC	APC regulator of WNT signaling pathway	Homo sapiens	human	PROTEIN_CODING	37	324	NCBI Ortholog
5595	MAPK3	mitogen-activated protein kinase 3	Homo sapiens	human	PROTEIN_CODING	5	5595	NCBI Ortholog
8626	TP63	tumor protein p63	Homo sapiens	human	PROTEIN_CODING	13	8626	NCBI Ortholog
114548	NLRP3	NLR family pyrin domain containing 3	Homo sapiens	human	PROTEIN_CODING	33	114548	NCBI Ortholog
185	AGTR1	angiotensin II receptor type 1	Homo sapiens	human	PROTEIN_CODING	7	185	NCBI Ortholog
3075	CFH	complement factor H	Homo sapiens	human	PROTEIN_CODING	2	3075	NCBI Ortholog
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	Homo sapiens	human	PROTEIN_CODING	1	3725	NCBI Ortholog
3791	KDR	kinase insert domain receptor	Homo sapiens	human	PROTEIN_CODING	1	3791	NCBI Ortholog
4000	LMNA	lamin A/C	Homo sapiens	human	PROTEIN_CODING	28	4000	NCBI Ortholog
8743	TNFSF10	TNF superfamily member 10	Homo sapiens	human	PROTEIN_CODING	4	8743	NCBI Ortholog
3557	IL1RN	interleukin 1 receptor antagonist	Homo sapiens	human	PROTEIN_CODING	10	3557	NCBI Ortholog
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4	Homo sapiens	human	PROTEIN_CODING	2	1576	NCBI Ortholog
338	APOB	apolipoprotein B	Homo sapiens	human	PROTEIN_CODING	1	338	NCBI Ortholog
581	BAX	BCL2 associated X, apoptosis regulator	Homo sapiens	human	PROTEIN_CODING	10	581	NCBI Ortholog
4282	MIF	macrophage migration inhibitory factor	Homo sapiens	human	PROTEIN_CODING	1	4282	NCBI Ortholog
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1	Homo sapiens	human	PROTEIN_CODING	3	3417	NCBI Ortholog
1588	CYP19A1	cytochrome P450 family 19 subfamily A member 1	Homo sapiens	human	PROTEIN_CODING	11	1588	NCBI Ortholog
238	ALK	ALK receptor tyrosine kinase	Homo sapiens	human	PROTEIN_CODING	5	238	NCBI Ortholog
3949	LDLR	low density lipoprotein receptor	Homo sapiens	human	PROTEIN_CODING	10	3949	NCBI Ortholog
4255	MGMT	O-6-methylguanine-DNA methyltransferase	Homo sapiens	human	PROTEIN_CODING	1	4255	NCBI Ortholog
5747	PTK2	protein tyrosine kinase 2	Homo sapiens	human	PROTEIN_CODING	223	5747	NCBI Ortholog
387	RHOA	ras homolog family member A	Homo sapiens	human	PROTEIN_CODING	7	387	NCBI Ortholog
5071	PRKN	parkin RBR E3 ubiquitin protein ligase	Homo sapiens	human	PROTEIN_CODING	9	5071	NCBI Ortholog
2322	FLT3	fms related receptor tyrosine kinase 3	Homo sapiens	human	PROTEIN_CODING	12	2322	NCBI Ortholog
23435	TARDBP	TAR DNA binding protein	Homo sapiens	human	PROTEIN_CODING	19	23435	NCBI Ortholog
4288	MKI67	marker of proliferation Ki-67	Homo sapiens	human	PROTEIN_CODING	5	4288	NCBI Ortholog
5663	PSEN1	presenilin 1	Homo sapiens	human	PROTEIN_CODING	18	5663	NCBI Ortholog
2332	FMR1	fragile X messenger ribonucleoprotein 1	Homo sapiens	human	PROTEIN_CODING	7	2332	NCBI Ortholog
3107	HLA-C	major histocompatibility complex, class I, C	Homo sapiens	human	PROTEIN_CODING	2	3107	NCBI Ortholog
4982	TNFRSF11B	TNF receptor superfamily member 11b	Homo sapiens	human	PROTEIN_CODING	1	4982	NCBI Ortholog
54658	UGT1A1	UDP glucuronosyltransferase family 1 member A1	Homo sapiens	human	PROTEIN_CODING	1	54658	NCBI Ortholog
2033	EP300	E1A binding protein p300	Homo sapiens	human	PROTEIN_CODING	2	2033	NCBI Ortholog
3082	HGF	hepatocyte growth factor	Homo sapiens	human	PROTEIN_CODING	6	3082	NCBI Ortholog
6772	STAT1	signal transducer and activator of transcription 1	Homo sapiens	human	PROTEIN_CODING	16	6772	NCBI Ortholog
7490	WT1	WT1 transcription factor	Homo sapiens	human	PROTEIN_CODING	20	7490	NCBI Ortholog
929	CD14	CD14 molecule	Homo sapiens	human	PROTEIN_CODING	4	929	NCBI Ortholog
19	ABCA1	ATP binding cassette subfamily A member 1	Homo sapiens	human	PROTEIN_CODING	1	19	NCBI Ortholog
4869	NPM1	nucleophosmin 1	Homo sapiens	human	PROTEIN_CODING	8	4869	NCBI Ortholog
6331	SCN5A	sodium voltage-gated channel alpha subunit 5	Homo sapiens	human	PROTEIN_CODING	13	6331	NCBI Ortholog
1277	COL1A1	collagen type I alpha 1 chain	Homo sapiens	human	PROTEIN_CODING	7	1277	NCBI Ortholog
2157	F8	coagulation factor VIII	Homo sapiens	human	PROTEIN_CODING	2	2157	NCBI Ortholog
4843	NOS2	nitric oxide synthase 2	Homo sapiens	human	PROTEIN_CODING	1	4843	NCBI Ortholog
6934	TCF7L2	transcription factor 7 like 2	Homo sapiens	human	PROTEIN_CODING	17	6934	NCBI Ortholog
7428	VHL	von Hippel-Lindau tumor suppressor	Homo sapiens	human	PROTEIN_CODING	4	7428	NCBI Ortholog
2247	FGF2	fibroblast growth factor 2	Homo sapiens	human	PROTEIN_CODING	2	2247	NCBI Ortholog
59272	ACE2	angiotensin converting enzyme 2	Homo sapiens	human	PROTEIN_CODING	6	59272	NCBI Ortholog
7276	TTR	transthyretin	Homo sapiens	human	PROTEIN_CODING	1	7276	NCBI Ortholog
861	RUNX1	RUNX family transcription factor 1	Homo sapiens	human	PROTEIN_CODING	32	861	NCBI Ortholog
282617	IFNL3	interferon lambda 3	Homo sapiens	human	PROTEIN_CODING	2	282617	NCBI Ortholog
3320	HSP90AA1	heat shock protein 90 alpha family class A member 1	Homo sapiens	human	PROTEIN_CODING	4	3320	NCBI Ortholog
3552	IL1A	interleukin 1 alpha	Homo sapiens	human	PROTEIN_CODING	2	3552	NCBI Ortholog
3757	KCNH2	potassium voltage-gated channel subfamily H member 2	Homo sapiens	human	PROTEIN_CODING	20	3757	NCBI Ortholog
4204	MECP2	methyl-CpG binding protein 2	Homo sapiens	human	PROTEIN_CODING	28	4204	NCBI Ortholog
2335	FN1	fibronectin 1	Homo sapiens	human	PROTEIN_CODING	18	2335	NCBI Ortholog
4023	LPL	lipoprotein lipase	Homo sapiens	human	PROTEIN_CODING	1	4023	NCBI Ortholog
5265	SERPINA1	serpin family A member 1	Homo sapiens	human	PROTEIN_CODING	19	5265	NCBI Ortholog
1815	DRD4	dopamine receptor D4	Homo sapiens	human	PROTEIN_CODING	1	1815	NCBI Ortholog
2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	Homo sapiens	human	PROTEIN_CODING	8	2068	NCBI Ortholog
213	ALB	albumin	Homo sapiens	human	PROTEIN_CODING	1	213	NCBI Ortholog
3039	HBA1	hemoglobin subunit alpha 1	Homo sapiens	human	PROTEIN_CODING	1	3039	NCBI Ortholog
3064	HTT	huntingtin	Homo sapiens	human	PROTEIN_CODING	2	3064	NCBI Ortholog
3356	HTR2A	5-hydroxytryptamine receptor 2A	Homo sapiens	human	PROTEIN_CODING	3	3356	NCBI Ortholog
54106	TLR9	toll like receptor 9	Homo sapiens	human	PROTEIN_CODING	1	54106	NCBI Ortholog
217	ALDH2	aldehyde dehydrogenase 2 family member	Homo sapiens	human	PROTEIN_CODING	2	217	NCBI Ortholog
5241	PGR	progesterone receptor	Homo sapiens	human	PROTEIN_CODING	11	5241	NCBI Ortholog
10	NAT2	N-acetyltransferase 2	Homo sapiens	human	PROTEIN_CODING	3	10	NCBI Ortholog
1071	CETP	cholesteryl ester transfer protein	Homo sapiens	human	PROTEIN_CODING	4	1071	NCBI Ortholog
2697	GJA1	gap junction protein alpha 1	Homo sapiens	human	PROTEIN_CODING	1	2697	NCBI Ortholog
3558	IL2	interleukin 2	Homo sapiens	human	PROTEIN_CODING	1	3558	NCBI Ortholog
5599	MAPK8	mitogen-activated protein kinase 8	Homo sapiens	human	PROTEIN_CODING	32	5599	NCBI Ortholog
5781	PTPN11	protein tyrosine phosphatase non-receptor type 11	Homo sapiens	human	PROTEIN_CODING	6	5781	NCBI Ortholog
841	CASP8	caspase 8	Homo sapiens	human	PROTEIN_CODING	76	841	NCBI Ortholog
1471	CST3	cystatin C	Homo sapiens	human	PROTEIN_CODING	2	1471	NCBI Ortholog
2321	FLT1	fms related receptor tyrosine kinase 1	Homo sapiens	human	PROTEIN_CODING	4	2321	NCBI Ortholog
5578	PRKCA	protein kinase C alpha	Homo sapiens	human	PROTEIN_CODING	21	5578	NCBI Ortholog
7316	UBC	ubiquitin C	Homo sapiens	human	PROTEIN_CODING	1	7316	NCBI Ortholog
10891	PPARGC1A	PPARG coactivator 1 alpha	Homo sapiens	human	PROTEIN_CODING	39	10891	NCBI Ortholog
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Homo sapiens	human	PROTEIN_CODING	2	25	NCBI Ortholog
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	Homo sapiens	human	PROTEIN_CODING	18	255738	NCBI Ortholog
3065	HDAC1	histone deacetylase 1	Homo sapiens	human	PROTEIN_CODING	3	3065	NCBI Ortholog
3265	HRAS	HRas proto-oncogene, GTPase	Homo sapiens	human	PROTEIN_CODING	5	3265	NCBI Ortholog
3309	HSPA5	heat shock protein family A (Hsp70) member 5	Homo sapiens	human	PROTEIN_CODING	1	3309	NCBI Ortholog
4436	MSH2	mutS homolog 2	Homo sapiens	human	PROTEIN_CODING	60	4436	NCBI Ortholog
6790	AURKA	aurora kinase A	Homo sapiens	human	PROTEIN_CODING	13	6790	NCBI Ortholog
8074	FGF23	fibroblast growth factor 23	Homo sapiens	human	PROTEIN_CODING	1	8074	NCBI Ortholog
1869	E2F1	E2F transcription factor 1	Homo sapiens	human	PROTEIN_CODING	3	1869	NCBI Ortholog
1950	EGF	epidermal growth factor	Homo sapiens	human	PROTEIN_CODING	4	1950	NCBI Ortholog
2067	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	Homo sapiens	human	PROTEIN_CODING	15	2067	NCBI Ortholog
4314	MMP3	matrix metallopeptidase 3	Homo sapiens	human	PROTEIN_CODING	1	4314	NCBI Ortholog
4353	MPO	myeloperoxidase	Homo sapiens	human	PROTEIN_CODING	1	4353	NCBI Ortholog
56729	RETN	resistin	Homo sapiens	human	PROTEIN_CODING	5	56729	NCBI Ortholog
6513	SLC2A1	solute carrier family 2 member 1	Homo sapiens	human	PROTEIN_CODING	1	6513	NCBI Ortholog
2152	F3	coagulation factor III, tissue factor	Homo sapiens	human	PROTEIN_CODING	2	2152	NCBI Ortholog
3481	IGF2	insulin like growth factor 2	Homo sapiens	human	PROTEIN_CODING	5	3481	NCBI Ortholog
3627	CXCL10	C-X-C motif chemokine ligand 10	Homo sapiens	human	PROTEIN_CODING	2	3627	NCBI Ortholog
3953	LEPR	leptin receptor	Homo sapiens	human	PROTEIN_CODING	6	3953	NCBI Ortholog
